445,YMM,-8.885
446,WHV,-8.884
447,NDF,-8.883
448,WMA,-8.882
449,DDW,-8.882
450,FQH,-8.881
451,QTW,-8.88
452,WFN,-8.88
453,FII,-8.876
454,WIQ,-8.873
455,GFW,-8.871
456,WIT,-8.87
457,WMH,-8.87
458,WNQ,-8.866
459,YRM,-8.865
460,AEW,-8.864
461,PAF,-8.862
462,PQF,-8.859
463,WVQ,-8.858
464,YFP,-8.858
465,MAF,-8.857
466,NTW,-8.857
467,FIV,-8.856
468,FHP,-8.856
469,TYP,-8.855
470,KVF,-8.853
471,WQT,-8.853
472,YTR,-8.852
473,WEM,-8.852
474,RHW,-8.85
475,IHQ,-8.849
476,PVF,-8.848
477,VTY,-8.848
478,WHG,-8.846
479,SLF,-8.846
480,WMN,-8.843
481,YKP,-8.842
482,TAW,-8.841
483,QHW,-8.84
484,GCW,-8.84
485,DNW,-8.839
486,GWW,-8.837
487,WGI,-8.836
488,WGM,-8.834
489,LSY,-8.831
490,MMF,-8.83
491,WQM,-8.827
492,DCW,-8.827
493,HWL,-8.827
494,NKW,-8.825
495,HHH,-8.823
496,WNV,-8.823
497,FHM,-8.82
498,WWC,-8.818
499,TNF,-8.816
500,WGF,-8.815
501,TWW,-8.813
502,YVM,-8.812
503,FVH,-8.811
504,HSY,-8.808
505,PVY,-8.807
506,WHM,-8.806
507,HGW,-8.806
508,VNF,-8.805
509,ISW,-8.805
510,ASW,-8.804
511,RIF,-8.804
512,WDH,-8.802
513,WGH,-8.8
514,FWL,-8.798
515,YDK,-8.798
516,IHH,-8.798
517,GVW,-8.797
518,ILH,-8.797
519,CSW,-8.796
520,HWA,-8.795
521,FMH,-8.795
522,VWS,-8.794
523,LYH,-8.794
524,RYY,-8.794
525,YRH,-8.793
526,LIV,-8.792
527,NVH,-8.79
528,KYG,-8.789
529,WVM,-8.789
530,LGF,-8.788
531,TFH,-8.785
532,VSF,-8.784
533,VWW,-8.781
534,WKN,-8.778
535,VHH,-8.778
536,HSF,-8.777
537,CIF,-8.777
538,MEW,-8.776
539,QKY,-8.776
540,WDM,-8.775
541,FWH,-8.775
542,WKW,-8.774
543,WNF,-8.773
544,CNF,-8.771
545,WNI,-8.771
546,TNY,-8.771
547,YFA,-8.771
548,EHW,-8.77
549,WDK,-8.769
550,ITY,-8.769
551,IFL,-8.768
552,WPR,-8.766
553,FQQ,-8.765
554,TDW,-8.762
555,MNY,-8.76
556,WMP,-8.757
557,FWC,-8.757
558,FVM,-8.755
559,YFK,-8.755
560,WAI,-8.752
561,FKM,-8.751
562,TTW,-8.749
563,FQP,-8.747
564,DTW,-8.747
565,TYE,-8.747
566,WTK,-8.746
567,CEW,-8.746
568,ITW,-8.744
569,CVF,-8.742
570,MYA,-8.741
571,WAT,-8.741
572,WWS,-8.74
573,WAY,-8.74
574,TYH,-8.739
575,VWN,-8.738
576,SHF,-8.736
577,YYH,-8.735
578,MWV,-8.734
579,HAF,-8.733
580,HTY,-8.731
581,MKI,-8.73
582,WIC,-8.729
583,PTY,-8.729
584,MMI,-8.728
585,RAF,-8.728
586,YYQ,-8.727
587,WQP,-8.727
588,HVH,-8.726
589,TLY,-8.724
590,FGH,-8.723
591,VMF,-8.721
592,FHA,-8.721
593,FFG,-8.719
594,VKF,-8.719
595,FIH,-8.718
596,VDY,-8.718
597,PTF,-8.716
598,LRV,-8.716
599,QFH,-8.712
600,HWK,-8.712
601,FRR,-8.711
602,WYK,-8.709
603,IAY,-8.706
604,WMR,-8.704
605,GEW,-8.704
606,WQE,-8.704
607,NYA,-8.703
608,WFV,-8.703
609,CMY,-8.7
610,AWR,-8.698
611,FIL,-8.698
612,QEW,-8.697
613,WYT,-8.696
614,VYR,-8.695
615,TTY,-8.694
616,HCF,-8.693
617,TYF,-8.693
618,NAW,-8.69
619,ARY,-8.689
620,RWL,-8.689
621,ETF,-8.688
622,GLY,-8.688
623,RMP,-8.687
624,WMQ,-8.685
625,LTF,-8.685
626,SWQ,-8.685
627,AIF,-8.685
628,FTI,-8.684
629,YKH,-8.682
630,FWF,-8.682
631,YTM,-8.682
632,WVR,-8.681
633,CFR,-8.681
634,STF,-8.68
635,WQL,-8.679
636,SSW,-8.679
637,WLK,-8.678
638,MYN,-8.677
639,HWS,-8.675
640,WYN,-8.674
641,YYF,-8.672
642,AWL,-8.672
643,AQF,-8.671
644,MFH,-8.67
645,IYA,-8.67
646,IWG,-8.669
647,PHH,-8.667
648,DKF,-8.666
649,YQP,-8.666
650,KYC,-8.665
651,WII,-8.664
652,LQM,-8.663
653,HKP,-8.663
654,FWK,-8.661
655,TQY,-8.661
656,VFV,-8.66
657,EWG,-8.659
658,QIW,-8.659
659,MCF,-8.656
